avg_price,created_at,fees,qty,side,simple_name,symbol,type
42.2877,"4th Dec 2019, 12:33:01 pm",0,30,buy,Vanguard FTSE Emerging Markets Fund,VWO,market
17.9,"30th Dec 2019, 9:30:00 am",0,4,sell,HUYA,HUYA,market
164.3,"30th Dec 2019, 9:30:00 am",0,2,buy,Vanguard Total Stock Market ETF,VTI,market
23.506,"30th Dec 2019, 1:47:01 pm",0,10,sell,PagerDuty,PD,market
18.6725,"30th Dec 2019, 1:48:34 pm",0,4,sell,Canopy Growth,CGC,market
33.84,"30th Dec 2019, 1:50:01 pm",0,2,sell,Baozun,BZUN,market
21.3617,"30th Dec 2019, 1:51:05 pm",0,6,sell,iQIYI,IQ,market
1.905,"30th Dec 2019, 1:52:24 pm",0,10,sell,Aurora Cannabis,ACB,market
11.06,"30th Dec 2019, 1:53:38 pm",0,5,sell,GE,GE,market
29.775,"30th Dec 2019, 1:54:36 pm",0,2,sell,Uber,UBER,market
55.6852,"6th Jan 2020, 3:31:45 pm",0,25,buy,Vanguard Total International Stock ETF,VXUS,market
165.095,"27th Jan 2020, 1:53:06 pm",0,4,buy,Vanguard Total Stock Market ETF,VTI,market
298.28,"27th Jan 2020, 1:53:31 pm",0,1,buy,Vanguard S&P 500 ETF,VOO,market
913.27,"4th Feb 2020, 12:39:16 pm",0.02,1,sell,Tesla,TSLA,market
37.66,"7th Feb 2020, 9:30:13 am",0,11,sell,Twitter,TWTR,market
36.4318,"12th Feb 2020, 12:28:48 pm",0,11,sell,Twitter,TWTR,market
186.685,"18th Feb 2020, 1:04:29 pm",0,4,buy,Microsoft,MSFT,market
171.12,"18th Feb 2020, 1:04:54 pm",0,10,buy,Vanguard Total Stock Market ETF,VTI,market
30.49,"18th Feb 2020, 3:54:36 pm",0,10,buy,Virgin Galactic Holdings,SPCE,market
162.416,"25th Feb 2020, 11:40:37 am",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
146.42,"28th Feb 2020, 9:30:02 am",0,4,buy,Vanguard Total Stock Market ETF,VTI,market
154.404,"4th Mar 2020, 11:08:32 am",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
300.54,"5th Mar 2020, 3:24:36 pm",0,3,buy,SPDR S&P 500 ETF,SPY,market
141.69,"9th Mar 2020, 1:14:49 pm",0,1,buy,Vanguard Total Stock Market ETF,VTI,market
140,"10th Mar 2020, 2:24:47 pm",0,7,buy,Vanguard Total Stock Market ETF,VTI,market
277.39,"10th Mar 2020, 2:25:16 pm",0,5,buy,SPDR S&P 500 ETF,SPY,market
21.176,"13th Mar 2020, 12:01:59 pm",0,10,buy,Cheesecake Factory,CAKE,market
60.724,"13th Mar 2020, 12:02:20 pm",0,5,buy,Darden Restaurants,DRI,market
21.559,"13th Mar 2020, 12:02:50 pm",0,40,buy,Cedar Fair,FUN,market
11.181,"13th Mar 2020, 12:03:19 pm",0,50,buy,Dave & Buster's,PLAY,market
117.394,"18th Mar 2020, 12:49:47 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
17.65,"26th Mar 2020, 12:37:50 pm",0,15,sell,Dave & Buster's,PLAY,market
20.23,"26th Mar 2020, 12:38:19 pm",0,5,buy,Cheesecake Factory,CAKE,market
129.63,"26th Mar 2020, 12:39:56 pm",0,3,buy,Vanguard Total Stock Market ETF,VTI,market
258.24,"26th Mar 2020, 12:40:13 pm",0,2,buy,SPDR S&P 500 ETF,SPY,market
29.93,"30th Mar 2020, 3:00:35 pm",0,10,buy,United Airlines,UAL,market
12.4085,"30th Mar 2020, 3:00:49 pm",0,20,buy,American Airlines,AAL,market
22.18,"30th Mar 2020, 3:01:30 pm",0,20,buy,Bank of America,BAC,market
236.96,"6th Apr 2020, 9:30:00 am",0,3,buy,Vanguard S&P 500 ETF,VOO,market
128.43,"6th Apr 2020, 9:30:01 am",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
99.89,"6th Apr 2020, 9:30:02 am",0,5,buy,Nasdaq,NDAQ,market
254.92,"7th Apr 2020, 11:48:27 am",0.02,3,sell,Vertex Pharmaceuticals,VRTX,market
1202.49,"8th Apr 2020, 1:20:28 pm",0,1,buy,Alphabet Class A,GOOGL,market
32.63,"13th Apr 2020, 9:30:00 am",0,30,buy,United Airlines,UAL,market
25.06,"13th Apr 2020, 9:30:11 am",0,40,buy,Delta Air Lines,DAL,market
26.6,"13th Apr 2020, 9:30:15 am",0,20,buy,HSBC,HSBC,market
137.67,"15th Apr 2020, 12:14:38 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
445.76,"16th Apr 2020, 10:50:00 am",0,1,sell,Netflix,NFLX,market
75.07,"16th Apr 2020, 10:57:50 am",0,2,sell,Beyond Meat,BYND,market
141.36,"23rd Apr 2020, 12:12:53 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
141.33,"4th May 2020, 2:12:15 pm",0,6,buy,Vanguard Total Stock Market ETF,VTI,market
24.73,"4th May 2020, 2:12:44 pm",0,5,buy,United Airlines,UAL,market
22.648,"4th May 2020, 2:13:31 pm",0,10,buy,Bank of America,BAC,market
148.08,"12th May 2020, 9:30:00 am",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
152.406,"26th May 2020, 2:25:12 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
35.2625,"26th May 2020, 2:25:45 pm",0.02,20,sell,Cedar Fair,FUN,market
158.358,"3rd Jun 2020, 3:08:04 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
25.4398,"5th Jun 2020, 2:23:16 pm",0,40,buy,Six Flags,SIX,market
120.01,"5th Jun 2020, 2:24:44 pm",0,5,buy,Nasdaq,NDAQ,market
1.29,"5th Jun 2020, 2:30:18 pm",0,200,buy,Callon Petroleum,CPE,market
2.44,"8th Jun 2020, 12:55:06 pm",0.01,100,sell,Callon Petroleum,CPE,market
321.5767,"9th Jun 2020, 3:04:23 pm",0,3,buy,SPDR S&P 500 ETF,SPY,market
158.21,"16th Jun 2020, 12:24:50 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
117.9875,"16th Jun 2020, 12:25:16 pm",0,8,buy,Nasdaq,NDAQ,market
314.1,"19th Jun 2020, 9:30:01 am",0,2,buy,SPDR S&P 500 ETF,SPY,market
157.83,"22nd Jun 2020, 12:28:25 pm",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
79.0992,"22nd Jun 2020, 12:30:23 pm",0,13,buy,iShares Dow Jones US Real Estate ETF,IYR,market
152.7,"29th Jun 2020, 9:30:00 am",0,6,buy,Vanguard Total Stock Market ETF,VTI,market
77.67,"29th Jun 2020, 12:24:22 pm",0,15,buy,iShares Dow Jones US Real Estate ETF,IYR,market
42.7589,"6th Jul 2020, 1:58:20 pm",0,18,buy,Vanguard FTSE Emerging Markets Fund,VWO,market
80.6083,"6th Jul 2020, 1:58:42 pm",0,12,buy,iShares Dow Jones US Real Estate ETF,IYR,market
3251.06,"13th Jul 2020, 9:30:00 am",0,1,buy,Amazon,AMZN,market
77.4854,"14th Jul 2020, 1:11:36 pm",0,13,buy,iShares Dow Jones US Real Estate ETF,IYR,market
159.2357,"14th Jul 2020, 1:11:51 pm",0,7,buy,Vanguard Total Stock Market ETF,VTI,market
325.64,"21st Jul 2020, 12:20:25 pm",0,4,buy,SPDR S&P 500 ETF,SPY,market
78.76,"21st Jul 2020, 12:21:24 pm",0,7,buy,iShares Dow Jones US Real Estate ETF,IYR,market
24.1978,"21st Jul 2020, 12:22:42 pm",0,45,buy,HSBC,HSBC,limit
163.885,"28th Jul 2020, 12:39:27 pm",0,6,buy,Vanguard Total Stock Market ETF,VTI,market
80.4683,"28th Jul 2020, 12:39:58 pm",0,12,buy,iShares Dow Jones US Real Estate ETF,IYR,market
22.835,"28th Jul 2020, 12:40:19 pm",0,20,buy,HSBC,HSBC,market
322.625,"30th Jul 2020, 11:59:15 am",0,2,buy,SPDR S&P 500 ETF,SPY,market
128.848,"30th Jul 2020, 11:59:27 am",0,5,buy,Nasdaq,NDAQ,market
81.88,"4th Aug 2020, 12:59:22 pm",0,10,buy,iShares Dow Jones US Real Estate ETF,IYR,market
169.34,"7th Aug 2020, 12:09:22 pm",0,7,buy,Vanguard Total Stock Market ETF,VTI,market
52.258,"7th Aug 2020, 12:09:44 pm",0,20,buy,Vanguard Total International Stock ETF,VXUS,market
131.6763,"10th Aug 2020, 12:19:13 pm",0,8,buy,Nasdaq,NDAQ,market
148.06,"10th Aug 2020, 2:16:01 pm",0,7,buy,Johnson & Johnson,JNJ,market
337.1575,"12th Aug 2020, 11:46:18 am",0,4,buy,SPDR S&P 500 ETF,SPY,market
48.5,"13th Aug 2020, 9:52:45 am",0,25,buy,Coca-Cola,KO,market
210.2,"13th Aug 2020, 9:53:24 am",0,4,buy,Microsoft,MSFT,market
81.95,"17th Aug 2020, 11:28:14 am",0,9,buy,iShares Dow Jones US Real Estate ETF,IYR,market
130.37,"17th Aug 2020, 11:28:40 am",0,7,buy,Nasdaq,NDAQ,market
130.96,"26th Aug 2020, 10:22:04 am",0,6,buy,Nasdaq,NDAQ,market
29.8768,"26th Aug 2020, 1:32:29 pm",0,25,buy,Delta Air Lines,DAL,market
20.45,"28th Aug 2020, 9:30:01 am",0,50,buy,SSR Mining,SSRM,market
184.48,"28th Aug 2020, 4:14:26 pm",0,6,buy,SPDR Gold Trust,GLD,market
177.75,"28th Aug 2020, 4:14:51 pm",0,6,buy,Vanguard Total Stock Market ETF,VTI,market
322.13,"28th Aug 2020, 4:15:34 pm",0,3,buy,Vanguard S&P 500 ETF,VOO,market
49.8187,"28th Aug 2020, 4:16:05 pm",0,15,buy,Coca-Cola,KO,market
82.357,"2nd Sep 2020, 10:52:14 am",0,10,buy,iShares Dow Jones US Real Estate ETF,IYR,market
428.87,"2nd Sep 2020, 11:51:40 am",0,1,buy,Tesla,TSLA,market
525.05,"3rd Sep 2020, 12:29:09 pm",0,1,buy,NVIDIA,NVDA,market
336.74,"8th Sep 2020, 9:30:00 am",0,2,buy,SPDR S&P 500 ETF,SPY,market
128.81,"8th Sep 2020, 9:30:02 am",0,5,buy,Nasdaq,NDAQ,market
335.3,"11th Sep 2020, 11:31:34 am",0,3,buy,SPDR S&P 500 ETF,SPY,market
169.54,"11th Sep 2020, 11:32:24 am",0,5,buy,Vanguard Total Stock Market ETF,VTI,market
129.184,"16th Sep 2020, 12:21:40 pm",0,5,buy,Nasdaq,NDAQ,market
184.67,"16th Sep 2020, 12:22:00 pm",0,6,buy,SPDR Gold Trust,GLD,market
170.1596,"17th Sep 2020, 1:38:50 pm",0,2.938418,buy,Vanguard Total Stock Market ETF,VTI,market
82.3797,"17th Sep 2020, 1:40:56 pm",0,6.069456,buy,iShares Dow Jones US Real Estate ETF,IYR,market
182.5249,"17th Sep 2020, 1:50:40 pm",0,2.739352,buy,SPDR Gold Trust,GLD,market
124.27,"17th Sep 2020, 1:52:14 pm",0,4.023497,buy,Nasdaq,NDAQ,market
166.6699,"24th Sep 2020, 1:51:49 pm",0,2.999942,buy,Vanguard Total Stock Market ETF,VTI,market
179.3189,"1st Oct 2020, 1:38:21 pm",0,2.788329,buy,SPDR Gold Trust,GLD,market
171.675,"1st Oct 2020, 1:39:12 pm",0,2.91248,buy,Vanguard Total Stock Market ETF,VTI,market
123.9118,"1st Oct 2020, 1:41:10 pm",0,4.035128,buy,Nasdaq,NDAQ,market
80.5496,"1st Oct 2020, 1:43:29 pm",0,6.207355,buy,iShares Dow Jones US Real Estate ETF,IYR,market
175.545,"8th Oct 2020, 1:40:23 pm",0,2.848273,buy,Vanguard Total Stock Market ETF,VTI,market
178.9198,"15th Oct 2020, 2:24:00 pm",0,2.794548,buy,SPDR Gold Trust,GLD,market
177.4498,"15th Oct 2020, 2:24:36 pm",0,2.817698,buy,Vanguard Total Stock Market ETF,VTI,market
82.5897,"15th Oct 2020, 2:25:10 pm",0,6.054024,buy,iShares Dow Jones US Real Estate ETF,IYR,market
128.0303,"15th Oct 2020, 2:26:18 pm",0,3.905326,buy,Nasdaq,NDAQ,market
